,Adrenals ,Brain,Esophagus,Eyes,GB Cont,LLI Cont ,SI Cont,StomCont,ULI Cont,Rectum,HeartCon,Hrt Wall,Kidneys ,Liver,Lungs,Pancreas,Prostate,Salivary,Red Mar.,CortBone,TrabBone,Spleen,Testes,Thymus,Thyroid,UB Cont,Tot Body
Adrenals,8.88E-03,9.29E-15,8.53E-09,5.33E-14,1.02E-12,1.67E-12,6.07E-14,3.04E-13,8.67E-14,1.15E-14,2.67E-14,8.69E-09,2.52E-05,3.22E-06,4.85E-09,1.75E-08,7.65E-10,5.19E-15,3.59E-13,1.61E-13,1.61E-13,5.31E-08,1.22E-10,1.06E-09,5.39E-10,8.08E-15,2.05E-06
Brain,5.21E-12,1.00E-04,8.17E-10,1.35E-08,1.31E-15,1.02E-15,6.46E-16,2.14E-15,8.52E-16,2.33E-16,3.05E-15,1.01E-10,2.09E-11,8.49E-11,3.18E-10,9.76E-11,2.40E-16,1.28E-08,3.42E-13,5.36E-13,5.36E-13,2.71E-14,8.50E-16,3.64E-10,1.02E-09,2.07E-16,2.05E-06
Esophagus,5.40E-09,7.92E-10,3.14E-03,3.04E-10,3.29E-14,2.10E-14,1.19E-14,6.44E-12,1.49E-14,1.29E-15,8.48E-12,1.58E-06,2.07E-09,7.74E-09,1.83E-08,1.14E-08,4.31E-10,6.36E-09,3.25E-14,4.13E-14,4.13E-14,4.32E-09,1.09E-15,1.12E-08,5.36E-08,1.86E-15,2.05E-06
Eyes,9.60E-16,1.22E-08,4.96E-10,8.57E-03,2.13E-15,1.51E-15,6.47E-16,2.25E-15,1.29E-15,2.99E-16,4.06E-15,6.56E-15,1.06E-15,1.40E-13,7.28E-10,1.63E-15,2.62E-16,4.15E-09,3.42E-13,5.36E-13,5.36E-13,1.76E-15,1.05E-16,7.33E-13,6.56E-10,7.30E-17,2.05E-06
Gallbladder Wall,1.95E-08,1.11E-10,3.83E-09,3.45E-14,1.29E-03,5.19E-12,8.06E-14,3.55E-14,1.64E-11,8.66E-15,4.01E-14,2.78E-09,4.92E-09,3.31E-06,3.35E-09,6.57E-09,1.95E-09,1.44E-14,2.20E-14,9.47E-15,9.47E-15,1.66E-09,4.60E-14,1.12E-09,3.11E-10,8.05E-15,2.05E-06
LLI Wall,1.13E-08,1.02E-15,2.40E-09,1.09E-14,5.19E-12,9.97E-04,1.04E-11,1.49E-12,2.21E-12,3.81E-12,4.33E-14,3.56E-09,8.00E-09,7.17E-08,1.07E-09,3.00E-06,2.49E-09,1.30E-10,6.83E-13,1.80E-13,1.80E-13,7.85E-09,2.34E-10,5.65E-10,3.97E-10,2.04E-14,2.05E-06
Small Intestine,6.89E-09,6.46E-16,1.33E-09,1.38E-14,8.06E-14,1.04E-11,2.14E-04,3.16E-13,3.35E-12,2.85E-12,1.90E-14,2.13E-09,6.08E-09,3.08E-09,1.18E-09,1.61E-06,6.86E-09,2.38E-11,2.40E-13,6.34E-14,6.34E-14,3.27E-09,5.07E-10,6.07E-10,1.53E-10,2.18E-13,2.05E-06
Stomach Wall,1.24E-08,3.96E-11,9.78E-07,3.16E-11,3.57E-14,1.49E-12,2.05E-13,2.99E-04,1.13E-14,5.89E-15,2.50E-12,1.98E-07,4.04E-09,8.27E-08,9.81E-07,7.17E-06,3.32E-10,2.71E-10,4.96E-14,2.55E-14,2.55E-14,3.00E-07,4.92E-11,3.85E-09,1.28E-09,4.53E-15,2.05E-06
ULI Wall,7.94E-09,8.52E-16,1.16E-09,1.03E-14,1.64E-11,2.21E-12,2.17E-12,1.13E-14,4.98E-04,1.69E-14,2.99E-14,2.25E-09,8.78E-09,7.07E-08,2.99E-09,1.72E-08,3.95E-09,1.41E-10,2.59E-13,6.91E-14,6.91E-14,1.93E-09,1.04E-13,8.81E-10,1.60E-10,2.11E-14,2.05E-06
Rectum,4.49E-10,2.33E-16,7.32E-11,2.99E-16,8.66E-15,3.81E-12,2.85E-12,5.89E-15,1.69E-14,9.97E-04,3.38E-15,1.32E-10,1.43E-09,6.48E-11,1.34E-10,2.83E-10,4.96E-08,4.66E-16,6.83E-13,1.80E-13,1.80E-13,1.16E-09,2.92E-09,3.13E-11,1.17E-15,4.20E-12,2.05E-06
Heart Wall,3.67E-09,8.56E-11,1.35E-06,9.71E-11,4.05E-14,4.33E-14,1.90E-14,2.64E-12,2.99E-14,3.38E-15,1.47E-04,4.38E-04,1.61E-09,1.21E-07,1.66E-06,1.15E-08,2.04E-10,4.44E-10,7.48E-14,3.82E-14,3.82E-14,3.57E-09,1.33E-10,6.93E-06,3.35E-09,2.47E-15,2.05E-06
Kidneys,2.49E-05,5.02E-12,2.69E-09,4.83E-14,1.13E-13,2.78E-13,6.34E-14,4.78E-14,9.35E-14,1.69E-14,1.62E-14,1.99E-09,4.52E-04,2.62E-07,1.60E-09,7.61E-09,2.68E-09,6.47E-11,1.22E-13,4.49E-14,4.49E-14,1.78E-06,1.49E-10,5.66E-10,2.91E-10,1.12E-14,2.05E-06
Liver,3.03E-06,2.01E-11,7.81E-09,1.01E-11,1.40E-11,3.80E-13,5.41E-14,6.45E-13,2.78E-13,6.05E-15,1.12E-12,1.28E-07,2.86E-07,8.05E-05,7.37E-07,1.62E-08,5.62E-10,2.48E-10,8.64E-14,4.70E-14,4.70E-14,2.76E-09,4.71E-11,3.05E-09,1.09E-09,5.09E-15,2.05E-06
Lungs,3.25E-09,2.91E-10,1.54E-08,2.58E-10,2.63E-14,6.47E-14,1.03E-14,4.52E-12,2.35E-14,2.62E-15,6.91E-12,1.58E-06,1.43E-09,7.00E-07,1.13E-04,4.42E-09,1.40E-10,8.28E-10,1.51E-13,8.13E-14,8.13E-14,4.41E-08,4.77E-15,1.50E-08,1.06E-08,1.90E-15,2.05E-06
Pancreas,1.95E-08,1.58E-15,7.73E-09,1.54E-13,7.60E-14,1.75E-11,7.48E-12,3.23E-11,3.44E-13,9.61E-15,2.17E-13,1.23E-08,7.97E-09,1.51E-08,4.99E-09,9.94E-04,4.11E-10,1.66E-10,5.06E-14,2.24E-14,2.24E-14,1.02E-08,1.34E-10,2.62E-09,1.00E-09,7.12E-15,2.05E-06
Prostate,5.32E-10,2.40E-16,1.29E-13,2.62E-16,1.22E-14,2.53E-14,8.45E-14,7.05E-15,2.35E-14,4.42E-12,4.06E-15,3.04E-13,1.56E-09,1.67E-10,3.21E-15,2.36E-10,7.82E-03,1.06E-15,1.60E-14,8.10E-15,8.10E-15,7.69E-11,3.12E-09,5.63E-15,9.17E-16,1.92E-12,2.05E-06
Salivary Glands,1.46E-09,1.15E-08,4.17E-09,5.68E-09,2.25E-15,1.48E-15,7.39E-16,3.87E-15,1.74E-15,4.66E-16,7.06E-15,1.31E-10,1.11E-14,5.32E-11,6.99E-10,7.48E-11,2.88E-16,1.53E-03,3.25E-14,4.13E-14,4.13E-14,2.86E-10,2.02E-16,7.80E-10,7.18E-09,2.22E-16,2.05E-06
Red Marrow,4.47E-14,4.81E-13,5.60E-13,2.39E-13,1.88E-14,2.43E-14,1.87E-14,4.69E-14,1.68E-14,3.32E-13,1.22E-13,1.22E-13,1.04E-13,1.33E-13,7.28E-13,2.13E-14,2.88E-13,2.46E-13,5.61E-05,4.13E-12,3.68E-05,1.60E-13,7.84E-15,1.11E-12,1.29E-13,1.85E-13,1.45E-06
Osteogenic Cells,1.31E-13,2.95E-12,1.55E-12,4.56E-12,1.31E-14,2.13E-14,2.66E-14,1.08E-13,1.35E-14,4.03E-13,1.26E-13,1.26E-13,3.91E-13,1.91E-13,1.03E-12,2.26E-14,3.86E-13,3.24E-12,3.72E-05,3.61E-05,4.10E-05,5.03E-13,8.39E-15,1.30E-12,2.27E-13,4.92E-13,1.21E-06
Spleen,5.18E-08,3.52E-14,4.94E-09,5.51E-14,1.84E-14,2.58E-13,2.91E-14,4.01E-12,1.79E-14,8.37E-15,2.55E-14,2.84E-09,1.67E-06,2.84E-09,5.79E-08,1.19E-08,5.76E-10,5.49E-11,6.47E-14,3.49E-14,3.49E-14,9.26E-04,9.52E-11,8.30E-10,6.38E-10,5.11E-15,2.05E-06
Testes,4.88E-15,8.25E-17,9.47E-16,1.05E-16,2.39E-15,2.97E-15,5.07E-15,1.54E-15,3.31E-15,2.68E-14,9.08E-16,9.08E-16,1.61E-14,5.25E-14,7.16E-16,1.40E-14,1.31E-09,2.02E-16,6.99E-15,8.94E-15,8.94E-15,3.15E-11,3.80E-03,3.46E-16,2.40E-16,5.48E-14,2.05E-06
Thymus,6.07E-10,7.73E-10,1.13E-08,2.19E-10,1.38E-14,8.38E-15,4.57E-15,3.13E-14,8.79E-15,1.10E-15,2.04E-11,6.65E-06,3.66E-10,4.46E-09,1.32E-08,9.74E-10,1.87E-15,2.28E-10,1.15E-13,6.00E-14,6.00E-14,5.67E-10,3.46E-16,4.99E-03,1.96E-08,8.64E-16,2.05E-06
Thyroid,1.11E-09,9.38E-10,4.81E-08,1.90E-09,8.41E-15,4.48E-15,2.14E-15,1.29E-14,1.55E-15,1.04E-15,4.85E-14,2.19E-09,7.04E-11,1.92E-10,8.35E-09,4.25E-10,1.15E-15,3.79E-09,3.25E-14,4.13E-14,4.13E-14,5.38E-10,2.40E-16,2.09E-08,6.25E-03,4.54E-16,2.05E-06
Urinary Bladder Wall,2.33E-10,2.07E-16,7.00E-11,2.15E-16,8.05E-15,2.04E-14,1.42E-13,4.53E-15,2.11E-14,4.20E-12,2.47E-15,3.56E-14,7.95E-10,2.39E-10,1.69E-13,1.23E-10,3.74E-08,2.22E-16,1.60E-14,8.10E-15,8.10E-15,4.03E-10,4.78E-09,1.53E-15,4.54E-16,3.54E-04,2.05E-06
Total Body,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06,2.05E-06
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Any bone activity on bone surfaces,,,,,,,,,,,,,,,,,,,,,,,,,,,
