Organ,Dose limit [Gy],literature first found (#1),ref. from #1
Bone Marrow,2.5,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Liver,30,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Intestine,40,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Stomach,50,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Brain,45,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Spinal Cord,47,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Heart,40,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Lung,17.5,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Kidney,23,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Skin,55,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Esophagus,55,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Rectum,60,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Salivary Glands,32,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Bladder,65,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Ureters,70,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Testes,1,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Ovaries,2,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Muscle,60,"Hall, Giaccia. Radiobiology for the Radiologist 8th edition, page 359",
Adrenals,,,
Brain,45,,
Esophagus,55,,
Eyes,,,
Gallbladder Wall,,,
LLI Wall,,,
Small Intestine,40,,
Stomach Wall,50,,
ULI Wall,,,
Rectum,60,,
Heart Wall,40,,
Kidneys,23,,
Liver,30,,
Lungs,17.5,,
Pancreas,,,
Prostate,,,
Salivary Glands,32,,
Red Marrow,2.5,,
Osteogenic Cells,,,
Spleen,,,
Testes,100,,
Thymus,,,
Thyroid,,,
Urinary Bladder Wall,65,,
Total Body,,,
